[2017-03-09 21:55:57,377] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17638
[2017-03-09 21:55:57,387] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17639
[2017-03-09 21:55:57,390] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17639
[2017-03-09 21:55:57,390] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17639
[2017-03-09 21:55:57,392] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17639
[2017-03-09 21:55:57,392] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17639
[2017-03-09 21:55:57,394] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17639
[2017-03-09 21:55:57,395] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17639
[2017-03-09 21:55:57,404] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17640
[2017-03-09 21:55:57,406] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17640
[2017-03-09 21:55:57,407] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17640
[2017-03-09 21:55:57,409] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17640
[2017-03-09 21:55:57,409] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17640
[2017-03-09 21:55:57,411] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17640
[2017-03-09 21:55:57,411] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17640
[2017-03-09 21:55:57,421] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17641
[2017-03-09 21:55:57,423] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17641
[2017-03-09 21:55:57,424] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17641
